"","sample_code","sample_type","infected_count","disease","organ","portion","branch","total_count","leaf_incidence","Shade_tree_species","Section_of_Kaweri","Coffee_Variety","distance","Shade_tree_soil_sample_CODE","distance_class","log_total_count"
"114","FIC1COF3_Kita","No_CWD_leaves_middle_portion_2nd_branch",0,"CWD","leaves","middle","2nd",33,0,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",3.49650756146648
"115","FIC1COF3_Kita","No_CWD_leaves_middle_portion_3rd_branch",0,"CWD","leaves","middle","3rd",3,0,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",1.09861228866811
"116","FIC1COF3_Kita","No_CWD_leaves_middle_portion_4th_branch",0,"CWD","leaves","middle","4th",13,0,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",2.56494935746154
"117","FIC1COF3_Kita","No_CLR_leaves_middle_portion_1st_branch",5,"CLR","leaves","middle","1st",18,0.277777777777778,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",2.89037175789616
"118","FIC1COF3_Kita","No_CLR_leaves_middle_portion_2nd_branch",2,"CLR","leaves","middle","2nd",33,0.0606060606060606,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",3.49650756146648
"119","FIC1COF3_Kita","No_CLR_leaves_middle_portion_3rd_branch",0,"CLR","leaves","middle","3rd",3,0,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",1.09861228866811
"120","FIC1COF3_Kita","No_CLR_leaves_middle_portion_4th_branch",1,"CLR","leaves","middle","4th",13,0.0769230769230769,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",2.56494935746154
"121","FIC1COF3_Kita","No_CRBD_leaves_middle_portion_1st_branch",0,"CRBD","leaves","middle","1st",18,0,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",2.89037175789616
"122","FIC1COF3_Kita","No_CRBD_leaves_middle_portion_2nd_branch",0,"CRBD","leaves","middle","2nd",33,0,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",3.49650756146648
"123","FIC1COF3_Kita","No_CRBD_leaves_middle_portion_3rd_branch",0,"CRBD","leaves","middle","3rd",3,0,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",1.09861228866811
"124","FIC1COF3_Kita","No_CRBD_leaves_middle_portion_4th_branch",1,"CRBD","leaves","middle","4th",13,0.0769230769230769,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",2.56494935746154
"125","FIC1COF3_Kita","No_CRBD_berries_middle_portion_1st_branch",2,"CRBD","berries","middle","1st",15,0.133333333333333,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",2.70805020110221
"126","FIC1COF3_Kita","No_CRBD_berries_middle_portion_2nd_branch",0,"CRBD","berries","middle","2nd",85,0,"Fn","Kitagweta","Op2",22,"FIC1_Kita","(16-22]",4.44265125649032
